method,count,ops,ns,op
BenchmarkGeoTrips,10Dupes,3000000,427
BenchmarkGeoTrips,100Dupes,500000,2306
BenchmarkGeoTrips,50,200000,8472
BenchmarkGeoTrips,100,100000,15478
BenchmarkGeoTrips,500,30000,40628
BenchmarkGeoTrips,1000,20000,69492
BenchmarkNaiveCount,10Dupes,30000000,53.0
BenchmarkNaiveCount,100Dupes,300000,5277
BenchmarkNaiveCount,50,1000000,1516
BenchmarkNaiveCount,100,200000,7030
BenchmarkNaiveCount,500,5000,221252
BenchmarkNaiveCount,1000,1000,1250911
BenchmarkTreeCount,10Dupes,1000000,1338
BenchmarkTreeCount,100Dupes,200000,8652
BenchmarkTreeCount,50,100000,12779
BenchmarkTreeCount,100,50000,29086
BenchmarkTreeCount,500,10000,113321
BenchmarkTreeCount,1000,5000,237010
BenchmarkPathCount,10Dupes,3000000,644
BenchmarkPathCount,100Dupes,300000,5183
BenchmarkPathCount,50,100000,16091
BenchmarkPathCount,100,50000,33920
BenchmarkPathCount,500,10000,103232
BenchmarkPathCount,1000,10000,199959
BenchmarkSplitMap,10Dupes,2000000,770
BenchmarkSplitMap,100Dupes,200000,7281
BenchmarkSplitMap,50,100000,16041
BenchmarkSplitMap,100,50000,32627
BenchmarkSplitMap,500,10000,115223
BenchmarkSplitMap,1000,10000,214638
